image_name,DER,MSB,PSNR,SSIM
517.pgm,3.3066368103027344,6,inf,1
518.pgm,1.9589767456054688,4,inf,1
519.pgm,2.7184295654296875,5,inf,1
520.pgm,1.5628662109375,5,inf,1
521.pgm,2.08673095703125,5,inf,1
522.pgm,2.226409912109375,5,inf,1
523.pgm,3.052539825439453,6,inf,1
524.pgm,2.2628173828125,5,inf,1
525.pgm,2.15264892578125,5,inf,1
526.pgm,3.1298065185546875,6,inf,1
527.pgm,2.1859588623046875,5,inf,1
528.pgm,2.4176483154296875,5,inf,1
529.pgm,2.0406951904296875,5,inf,1
530.pgm,1.7296600341796875,5,inf,1
531.pgm,3.235607147216797,6,inf,1
532.pgm,2.543621063232422,6,inf,1
533.pgm,0.7894172668457031,8,inf,1
534.pgm,2.5419769287109375,5,inf,1
535.pgm,1.748565673828125,4,inf,1
536.pgm,2.4753875732421875,5,inf,1
537.pgm,2.3575286865234375,5,inf,1
538.pgm,2.1007118225097656,4,inf,1
539.pgm,3.572998046875,6,inf,1
540.pgm,3.5538482666015625,6,inf,1
541.pgm,3.516368865966797,6,inf,1
542.pgm,3.4183502197265625,6,inf,1
543.pgm,2.8403778076171875,5,inf,1
544.pgm,3.279552459716797,6,inf,1
545.pgm,2.5179595947265625,5,inf,1
546.pgm,3.3704566955566406,6,inf,1
547.pgm,3.616180419921875,6,inf,1
548.pgm,2.8500518798828125,5,inf,1
549.pgm,2.8365631103515625,5,inf,1
550.pgm,2.056285858154297,4,inf,1
551.pgm,2.856159210205078,6,inf,1
552.pgm,3.0521774291992188,6,inf,1
553.pgm,2.7736358642578125,5,inf,1
554.pgm,2.571868896484375,5,inf,1
555.pgm,2.768115997314453,6,inf,1
556.pgm,3.903179168701172,6,inf,1
557.pgm,3.1296157836914062,6,inf,1
558.pgm,2.1530303955078125,5,inf,1
559.pgm,2.3520965576171875,5,inf,1
560.pgm,3.9122772216796875,6,inf,1
561.pgm,2.6507415771484375,5,inf,1
562.pgm,2.62542724609375,5,inf,1
563.pgm,2.9922866821289062,6,inf,1
564.pgm,3.9334487915039062,6,inf,1
565.pgm,2.409912109375,5,inf,1
566.pgm,2.4419212341308594,6,inf,1
567.pgm,2.3680419921875,5,inf,1
568.pgm,2.8394126892089844,6,inf,1
569.pgm,2.399139404296875,5,inf,1
570.pgm,2.5495452880859375,5,inf,1
571.pgm,2.2572021484375,5,inf,1
572.pgm,3.459033966064453,6,inf,1
573.pgm,3.60107421875,6,inf,1
574.pgm,2.6318359375,5,inf,1
575.pgm,2.687774658203125,5,inf,1
576.pgm,2.388031005859375,5,inf,1
577.pgm,3.8097572326660156,6,inf,1
578.pgm,3.0841827392578125,5,inf,1
579.pgm,2.4772071838378906,6,inf,1
580.pgm,2.7425193786621094,6,inf,1
581.pgm,2.3647613525390625,5,inf,1
582.pgm,3.790454864501953,6,inf,1
583.pgm,1.8619880676269531,4,inf,1
584.pgm,3.1752777099609375,6,inf,1
585.pgm,2.538543701171875,5,inf,1
586.pgm,2.35150146484375,5,inf,1
587.pgm,1.6328582763671875,3,inf,1
588.pgm,2.231792449951172,4,inf,1
589.pgm,2.39447021484375,5,inf,1
590.pgm,2.1144866943359375,5,inf,1
591.pgm,2.0022125244140625,4,inf,1
592.pgm,3.5842514038085938,6,inf,1
593.pgm,2.7641448974609375,5,inf,1
594.pgm,2.9943275451660156,6,inf,1
595.pgm,3.0847930908203125,6,inf,1
596.pgm,2.268157958984375,5,inf,1
597.pgm,3.885040283203125,6,inf,1
598.pgm,2.1269073486328125,5,inf,1
599.pgm,1.5491867065429688,3,inf,1
600.pgm,3.108978271484375,6,inf,1
601.pgm,2.3570709228515625,5,inf,1
602.pgm,2.4027557373046875,5,inf,1
603.pgm,3.2993507385253906,6,inf,1
604.pgm,2.1983795166015625,5,inf,1
605.pgm,3.9400863647460938,6,inf,1
606.pgm,3.625774383544922,6,inf,1
607.pgm,4.114551544189453,6,inf,1
608.pgm,2.502655029296875,5,inf,1
609.pgm,2.0577392578125,4,inf,1
610.pgm,2.581085205078125,5,inf,1
611.pgm,2.7677345275878906,6,inf,1
612.pgm,2.0739784240722656,4,inf,1
613.pgm,2.8853607177734375,6,inf,1
614.pgm,3.0537986755371094,6,inf,1
615.pgm,2.6129531860351562,6,inf,1
616.pgm,2.4150390625,5,inf,1
617.pgm,3.487377166748047,6,inf,1
618.pgm,3.6267662048339844,6,inf,1
619.pgm,3.919811248779297,6,inf,1
620.pgm,2.6954345703125,5,inf,1
621.pgm,2.459308624267578,8,inf,1
622.pgm,3.7321090698242188,6,inf,1
623.pgm,3.340930938720703,6,inf,1
624.pgm,2.833099365234375,5,inf,1
625.pgm,4.048290252685547,6,inf,1
626.pgm,2.78729248046875,5,inf,1
627.pgm,2.7609405517578125,5,inf,1
628.pgm,2.707275390625,5,inf,1
629.pgm,2.7207374572753906,6,inf,1
630.pgm,3.9494895935058594,6,inf,1
631.pgm,3.0028076171875,5,inf,1
632.pgm,3.0690383911132812,6,inf,1
633.pgm,2.5696258544921875,5,inf,1
634.pgm,2.8958511352539062,6,inf,1
635.pgm,2.6966476440429688,6,inf,1
636.pgm,3.3265304565429688,6,inf,1
637.pgm,3.8613319396972656,6,inf,1
638.pgm,3.2558250427246094,6,inf,1
639.pgm,3.294239044189453,6,inf,1
640.pgm,2.5051422119140625,5,inf,1
641.pgm,3.5931015014648438,6,inf,1
642.pgm,3.7672996520996094,6,inf,1
